score	distance	methodRid	typeRid	symbol	tags	strings	externalCalls	callers	callees
582	2	4180	368	ProfilerGFXPanel.DrawGUI	render-camera|resource-path-string|string-evidence|ui	显示 Graphy || Assets/Main/Prefabs/Debug/Graphy.prefab || 隐藏 Graphy || Detach Lua Profiler || Attach Lua Profiler || Setting.Resource.Logger || Setting.Resource.Logger || SRPBatch:  || 开关SPRBatch || Toggle 迷雾 || Toggle 地表 || Toggle 建筑	System.Boolean.ToString || System.String.Concat || UnityEngine.GUILayout.Button || UnityEngine.GUILayout.Label || UnityEngine.GUILayout.Space || UnityEngine.GameObject.SetActive || UnityEngine.GameObject.get_activeSelf || UnityEngine.Object.op_Implicit || UnityEngine.QualitySettings.get_renderPipeline || UnityEngine.Rendering.GraphicsSettings.get_useScriptableRenderPipelineBatching || UnityEngine.Rendering.GraphicsSettings.set_useScriptableRenderPipelineBatching || UnityEngine.Rendering.Universal.UniversalRenderPipelineAsset.get_useSRPBatcher || UnityEngine.Rendering.Universal.UniversalRenderPipelineAsset.set_useSRPBatcher || tag4:rid14..ctor		1651|1652|1653|3131|3141|3182|3190|3391|3392|3450|4181|4905|7647|7702|12579|12580
575	2	14194	1292	UILoadingComponent.InitLoading	render-camera|resource-path-string|string-evidence|ui	UILoading CSOpen || Assets/Main/Loading/Prefabs/UILoading_Normal.prefab || UILoading Language: {0} SubPrefabPath: {1} || UILoading CSOpen InitSubLoading || KEY_SPLASH_LOADING || KEY_SPLASH_LOGO || [UISplashLoadingComponent] put KEY_LOGO: 	GameFramework.Log.Info || System.Globalization.CultureInfo.get_InvariantCulture || System.Single.ToString || System.String.Concat || System.String.Format || System.String.Join || System.Type.GetTypeFromHandle || UnityEngine.Object.get_name || UnityEngine.Object.op_Inequality || UnityEngine.RectTransform.get_anchoredPosition || UnityEngine.RectTransform.get_sizeDelta || UnityEngine.Transform.get_localScale || UnityEngine.UI.Graphic.get_rectTransform || UnityEngine.UI.RawImage.get_texture || VEngine.Asset.get_asset || VEngine.Loadable.Release || VEngine.Loadable.get_isError	14193	515|3131|3141|3415|4914|14095|14096|14195|14199|14203|14231
572	1	12490	1109	WorldScene.AfterCameraUpdate	render-camera|string-evidence	_LodCameraDistanceScale || _LodCameraDistanceScale	System.Action.Invoke || UnityEngine.Mathf.Approximately || UnityEngine.Mathf.Max || UnityEngine.Mathf.Sin || UnityEngine.Object.op_Inequality || UnityEngine.Shader.SetGlobalFloat || UnityEngine.Transform.get_eulerAngles || UnityEngine.Transform.get_position	12461|49594	9874|9891|12344|12390|12394|12443|12487|12488|12489|12499|12523|12525|12907
571	1	49594	4417	<>c__DisplayClass308_1.<LoadTerrainAssets>b__1	resource-path-string|string-evidence	WorldScene::gameobject is null when instantiate:Assets/Main/Prefabs/World/Scene_World.prefab complete || CSharpCallLuaInterface.CheckReplaceMain || CSharpCallLuaInterface.OnGotoSpecialWorld	GameFramework.Log.Error || System.Action..ctor || System.Action.Invoke || UnityEngine.GameObject.get_transform || UnityEngine.Object.op_Equality || UnityEngine.Transform.SetParent	49592	2836|2875|2880|3143|3145|4451|4453|9850|9863|9872|9899|11461|12394|12420|12463|12480|12490|12871|14871
570	2	9431	843	UITemperatureLabel.RefreshPhaseChange	render-camera|resource-path-string|string-evidence|ui	Assets/Main/Sprites/UI/UISeason/UISeason2/WorldPoint/FX_S2saiji_wendu_bing.png || Assets/Main/Sprites/UI/UISeason/UISeason2/WorldPoint/FX_S2saiji_wendu_huo.png || Assets/Main/Sprites/UI/UISeason/UISeason2/WorldPoint/FX_S2saiji_wendu_ronghua.png || Assets/Main/Sprites/UI/UISeason/UISeason2/WorldPoint/FX_S2saiji_wendu_mie.png || phase change error, curPhase={0},nextPhase={1}	GameFramework.Log.Error || SuperTextMesh.set_text || System.String.Format || UnityEngine.GameObject.SetActive || UnityEngine.SpriteRenderer.get_size || UnityEngine.SpriteRenderer.set_color || UnityEngine.SpriteRenderer.set_size	9430|9433	3149|4047|4050|4101|9380|9432|10619
569	2	14247	1294	UISplashLoadingComponent.LoadPlayerPref	render-camera|resource-path-string|string-evidence|ui	Show Splash Loading || KEY_SPLASH_LOADING || KEY_SPLASH_LOGO || [UISplashLoadingComponent] get KEY_LOGO:  || cfm_logo_S || cfm_saiji_logo || Assets/Main/Loading/Season/ || .png	GameFramework.Log.Info || StringUtilsExt.IsNullOrEmpty || System.Globalization.CultureInfo.get_InvariantCulture || System.Single.Parse || System.String.Concat || System.String.IsNullOrEmpty || System.String.Split || System.String.StartsWith || System.Type.GetTypeFromHandle || UnityEngine.Behaviour.set_enabled || UnityEngine.Canvas.set_overrideSorting || UnityEngine.Canvas.set_sortingOrder || UnityEngine.Component.get_gameObject || UnityEngine.GameObject.SetActive || UnityEngine.RectTransform.set_anchoredPosition || UnityEngine.RectTransform.set_sizeDelta || UnityEngine.Time.get_frameCount || UnityEngine.Transform.set_localScale || UnityEngine.UI.Graphic.get_rectTransform || UnityEngine.UI.RawImage.set_texture || UnityEngine.Vector2..ctor || UnityEngine.Vector3..ctor || VEngine.Asset.get_asset	14246	515|3131|3141|3415|3446|4912|14250|14251
569	2	8572	767	WorldTroop.Destroy	render-camera|resource-path-string|string-evidence	Assets/_Art_LastWar/Effect/Prefab/S3/Eff_S3_zhuanhua.prefab || UIUtil.CloseWorldMarchTileUI || UIAllianceRally || UIAllianceRally	CircleMeshInstanced.Release || System.IDisposable.Dispose || UnityEngine.Object.op_Inequality || UnityEngine.Transform.get_position || tag4:rid1074..ctor || tag4:rid1556.Clear || tag4:rid1556.GetEnumerator || tag4:rid1557.MoveNext || tag4:rid1557.get_Current || tag4:rid1806.GetEnumerator || tag4:rid1807.Clear || tag4:rid1808.Clear || tag4:rid1808.get_Values || tag4:rid1809.Clear || tag4:rid1809.GetEnumerator || tag4:rid1811.Clear || tag4:rid1811.GetEnumerator || tag4:rid1813.MoveNext || tag4:rid1813.get_Current || tag4:rid1814.MoveNext || tag4:rid1814.get_Current || tag4:rid1815.get_Value || tag4:rid1816.MoveNext || tag4:rid1816.get_Current || tag4:rid1817.get_Value || tag4:rid1818.GetEnumerator || tag4:rid1819.MoveNext || tag4:rid1819.get_Current	11044|11075|31632	3125|3143|3190|7110|7130|7990|8478|8543|8553|8574|8578|8583|8664|8667|8733|8790|8903|8967|10683|10725|10738|12339|12757|12764|12767|12892|14258|14802|31895|31896|40701|40702|48843|49245
565	2	11785	1048	WorldTreasureObject.DoWhenInfoChange	render-camera|resource-path-string|string-evidence	CSharpCallLuaInterface.GetDetectEventTreasureNameDes || Default || Default || detect_event || c_para || {0}/{1} || CSharpCallLuaInterface.GetDetectTreasureRewardBg || Assets/Main/Sprites/UI/UIBuildBtns/lyp_daditu_paiqianlingqu.png || Assets/Main/Sprites/UI/UIBuildBtns/zyf_zhujiemian_qipao_fenxiang.png	SuperTextMesh.set_text || System.String.Format || System.String.IsNullOrEmpty || TMPro.TMP_Text.set_text || UnityEngine.Color..ctor || UnityEngine.Color.get_white || UnityEngine.Color32.op_Implicit || UnityEngine.Component.get_gameObject || UnityEngine.GameObject.SetActive || UnityEngine.Object.op_Equality || UnityEngine.Object.op_Inequality || UnityEngine.SpriteRenderer.set_color || UnityEngine.UI.Graphic.set_color || UnityExtensionBase.ToInt || tag4:rid1083.get_Count || tag4:rid1212.get_Count || tag4:rid1212.get_Item	11781|11782|11788	2870|3099|3143|3145|3159|4101|4451|11317|11319|11321|11771|11784|11786|11789|12600|15013|15021|15028
557	2	11747	1044	SiegeTreasureObject.DoWhenInfoChange	render-camera|resource-path-string|string-evidence	world_treasure || world_treasure || max_reward_times || {0}/{1} || CSharpCallLuaInterface.GetDetectTreasureRewardBg || Assets/Main/Sprites/UI/UIBuildBtns/lyp_daditu_paiqianlingqu.png || Assets/Main/Sprites/UI/UIBuildBtns/zyf_zhujiemian_qipao_fenxiang.png	SuperTextMesh.set_text || System.String.Format || UnityEngine.Color..ctor || UnityEngine.Color.get_white || UnityEngine.Color32.op_Implicit || UnityEngine.GameObject.SetActive || UnityEngine.Object.op_Equality || UnityEngine.SpriteRenderer.set_color || UnityExtensionBase.ToInt || tag4:rid1083.get_Count || tag4:rid1212.get_Count || tag4:rid1212.get_Item	11741|11742|11744	2870|3099|3133|3143|3145|3159|3228|4101|4451|11317|11733|11746|11748|12600
555	2	10374	952	WorldHeroDispatchTaskObject.UpdateShowRewardUI	render-camera|resource-path-string|string-evidence	Transform/StealText || Transform/Detect_event_icon || Transform/Detect_event_quality_icon || Assets/Main/Sprites/UI/UIBuildBtns/lyp_daditu_paiqianlingqu.png || Assets/Main/Sprites/UI/UIBuildBubble/cfm_zhujiemian_qipao_2 || CSharpCallLuaInterface.GetInt || ActDispatchTaskTodayAssistNum || CSharpCallLuaInterface.GetInt || ActDispatchTaskMaxAssistNum || Assets/Main/Sprites/UI/UIBuildBtns/lyp_daditu_paiqianlingqu.png || Assets/Main/Sprites/UI/UIBuildBubble/cfm_zhujiemian_qipao_lan || Assets/Main/Sprites/UI/UIBuildBubble/cfm_zhujiemian_qipao_1	BaseUtils.StringUtils.IsNullOrEmpty || SuperTextMesh.set_text || System.Int32.Parse || System.String.op_Equality || UnityEngine.Component.get_gameObject || UnityEngine.GameObject.SetActive || UnityEngine.GameObject.get_transform || UnityEngine.Object.op_Equality || UnityEngine.Transform.Find || tag4:rid1083.Contains || tag4:rid1083.get_Count	10368|10369|10375|10379|49263	2890|3099|3133|3143|3145|3159|3228|4101|4104|4451
